rowname,Gm10847,Gm10851,Gm12752,Gm12753,Gm12801,Gm12802,Gm12818,Gm12832,Gm12864,Gm12877
CPEB4,1108.6879076498487,1132.5189277148108,2182.511678505952,1525.7268570863569,993.3936022900373,1297.305738923209,964.8195733937569,753.8785055959185,749.8469601602425,1365.791198023723
CPED1,0,0,0.8066877522683066,0,1.7969834453994058,0,2.349225077029361,2.2542253200999207,0,0
CPHL1P,0.230732335392821,0,2.7723930893849715,0,0,0,8.009832583807269,0.1706988132176846,0,0
CPHXL,0,0,0,0,0,0,0,0,0,0
CPLANE1,379.6529921484958,377.85619820954355,663.9040176455865,350.85307754198624,183.81687970112122,331.06051024242,289.80828911931474,142.25351855257045,204.68990900608262,293.86557172758785
CPLANE2,2.81724661574613,12.408126184529888,6.748857367673929,12.624494931883971,19.154552259372544,9.489945399910196,5.221779462652956,9.70970129539455,18.891935332962518,33.73597571607695
CPLX1,4.672339708912394,7.92590725223421,0,8.470421182772066,0,2.547503346388745,1.8594649228727633,4.06435102969258,4.474403626048446,5.423034461630761
CPLX2,0,0,0,0.6878278212590647,0,0,0,0,0,0
CPLX3,0,0,1.0324017351776944,0.6755386700804206,1.2436694233319379,1.6609161483521702,0,0,0,1.1270458458957913
CPLX4,0,0,0,0,0,0,0,0,0,0
CPM,26.04169613166413,19.95666970495454,2.8238724290906325,18.62692640761608,1.9269957816164351,56.35797473591674,4.928069075262418,10.684224155241402,17.590709203369585,20.937425240330377
CPN1,0,0,0,0,0,0,0,0,0,0
CPN2,0,0,0,0,0,0,0,0,0,0
CPNE1,366.8979567591675,601.6632360123978,407.73422209375167,425.11844719663037,493.9308798810984,514.6904061896023,499.68005409696934,694.271791287124,378.33251316000496,430.2558305110435
CPNE2,45.552627046502295,49.159436890437036,25.918655553180383,93.36295918516649,76.1087405561618,44.78968656278227,36.74301948365984,26.589389811128527,48.86201340791243,34.89429479581484
CPNE3,1235.9324115084303,1440.9556674703206,1044.1222545879314,1232.114990735727,937.084363364343,1489.737632500077,1254.4802976256763,1586.8713144763965,1189.5404736792425,1408.8526669404416
CPNE4,3.5826078606513385,1.4345230233348827,0.8829782720575068,1.4109790982361803,0,0.7106118714147458,3.8013871397015224,0,1.1436490269618729,3.534543754266564
CPNE5,148.0016375438725,238.91493702892967,94.45240747532671,62.61875664174573,138.3941106764821,81.82347298723151,85.99370603233642,74.14102290332468,127.05031055066645,137.36656483026036
CPNE6,0.6572578660094708,7.157551168646216,0,0.897379523299643,0,1.0776288915722496,0,0.972792096202314,0,2.9167110541421675
CPNE7,191.38357041029693,368.0615527314316,7.654103033745725,196.14747356594395,306.1163274419801,180.12718309136184,156.99677171089155,287.77716793907285,392.9932583270682,186.4590844389464
CPNE8,454.7261489604948,454.84798374430295,429.9385339046443,397.57295371515426,435.2009484056979,436.17340540314257,447.4965708621334,544.5198209624716,48.76618982147623,736.4976040317276
CPNE9,0,0,0,0,0,0,0,0,0,1.1070904065109628
CPO,0,0,0,0,0,0,0,0,0,0
CPOX,1007.1919182179087,875.4876288921417,637.015171352465,1887.8323930702106,928.727558157299,1063.222826438247,867.1495729111294,905.1941803551032,1523.4285678843285,800.6691958803257
CPP,1.1473762742719549,0,3.0851657447783825,0.6676794362680425,0,0.8259842040480834,1.821478991005316,0.8471383334358865,0,0
CPPED1,57.88114084753079,58.0690942621529,58.752084761397384,11.229840936493977,63.83679458738933,59.08345822302004,58.47007233911379,65.5973090672993,29.72694298426556,68.01013094069718
CPQ,1.1379733579740858,0,1.0275714071724174,4.031381192250597,0,0,3.6220562847568205,0,0,2.2455341339190378
CPS1,10.276372893407125,19.968683101879122,9.182130372270608,61.98057945258846,33.70364452430852,27.26094022600943,23.810026322654668,28.903773431097274,7.150642385995816,46.53186810977255
CPSF1,385.89914923912,534.9931967044008,291.39319471434254,483.5038835168453,313.34385468342174,478.79667655627935,419.54932124960436,531.248657425168,448.7687804087525,284.2282171635926
CPSF1P1,0,0,0,0,0,0,0,0,0,0
CPSF1P2,0,0,0,0,0,0,0,0,0,0
CPSF2,1136.4221535950437,996.1184988282836,1140.631150907612,963.117937667513,986.9149558097653,620.892341239008,906.4828013450194,903.4519515869943,617.0325207150169,1065.026637062997
CPSF3,531.0985308414789,464.7263043847917,480.61359733329124,630.9552410955977,430.50403656035724,595.2995666378791,403.70196292902835,347.50456243684846,483.81112955868235,480.14046059134307
CPSF4,185.07026063143172,224.67796995485625,158.15791781181156,261.8251769924445,196.2388032950356,247.27950416959783,262.92888457006734,249.67310840247563,319.07421834306626,247.98372645693956
CPSF4L,1.7349228635335536,2.0869890619955966,0,0.5998170484700244,1.8293483335210228,1.5349957710687,0,0.3841190794445961,1.655240845482313,0
CPSF6,1577.2649546312937,1509.090381390858,1493.8419607888097,1598.775163492941,1826.8204019007665,1793.923379624283,1436.239654113865,1655.5240631405934,1816.0225376665405,1641.8046912687673
CPSF7,838.9989911730622,652.6843635478756,1059.0554163563445,777.7838512524338,1298.421427997707,679.135102592047,838.1154210487837,874.7860699125017,831.9718985627329,989.9133246776477
CPT1A,198.16563637624276,199.21831409892556,144.4069893650368,159.56434751713857,168.50693837467716,185.5699807154022,218.07652344216422,165.1727976648161,48.153169710664784,176.4028492861963
CPT1B,99.06112706236243,176.8746287444924,133.0699515818447,201.33364484624832,123.5447944484823,199.9968214712306,178.29540910295177,168.12077620321867,244.8598039147443,280.16397672750645
CPT1C,0,0,1.6109663686316782,1.7398312690117412,0,6.026890959367595,0.2865151754958762,0,0.7141768462488417,0
CPT2,263.0255055655714,367.51601540863123,373.58520134058637,359.72020011236805,331.64154934850757,326.8467043644922,352.1247460825506,306.57120525788633,322.6281308271974,376.2480471126719
CPTP,55.10461015483594,97.31874649535725,73.0382653194215,80.79282162040894,56.662057359429994,75.86758389515818,96.96619943322078,90.56890151638333,81.22367469003947,132.8137892228323
CPVL,0,0,0,0,0,0.8345539377172466,0,0,0,0
CPXCR1,0,0,0,0,0,0,0,0,0,0
CPXM1,140.509746733713,8.167295117900222,440.6456605422005,14.156323551627661,103.76762263177946,300.09390371920483,474.88304467135384,407.18517557100586,126.93905061200847,393.2496882916988
CPXM2,0.7395724626450287,0.8884656923596667,31.529462935724652,7.4086530413466525,8.771139906267669,0.8024905344402415,0,27.798062697853137,1.0520482918158236,22.582716818319355
