rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TOMM6	494.346779421632	0.25171999897294084	0.15996672449244415	1.5735772534670518	0.11558521536581064	0.9944832763750364
USP49	268.4735304467911	-0.0666459537111584	0.17266643978176827	-0.38598093407955647	0.6995107891519777	0.9944832763750364
MED20	84.03582079114867	0.2735705430544507	0.25279396791426206	1.0821877804743951	0.27916909705453713	0.9944832763750364
BYSL	103.78787740117939	-0.3870604434187465	0.20346838800316924	-1.9023124290576168	0.05713032174451048	0.9347482196517357
CCND3	223.88722472790707	-0.16237032869554718	0.21717462238818153	-0.7476487211536336	0.45467206896109646	0.9944832763750364
TAF8	232.8006138342534	-0.21683877466053542	0.1727937340074147	-1.2548995246044667	0.2095152366064248	0.9944832763750364
C6orf132	0.589659221761715	2.1791337908588324	2.721022891313197	0.800850958591957	0.423217933976108	NA
LOC102723903	0	NA	NA	NA	NA	NA
GUCA1A	0.07894363668832888	-0.14513659473454882	3.160746997927919	-0.045918447389080984	0.9633752507948017	NA
LOC102723882	0	NA	NA	NA	NA	NA
GUCA1B	12.072389220377175	-0.23463117148685608	0.5604246899622942	-0.41866672844596164	0.6754597148252324	0.9944832763750364
MRPS10	375.8433035804008	0.008546242962298724	0.13056925216492007	0.06545371762950815	0.947812755251966	0.9993576071027863
TRERF1	213.0792161382353	0.03062031645215598	1.0433157852221258	0.029349039749874774	0.9765862156642465	0.9997666942545931
UBR2	808.2384955240636	0.028796436338843046	0.1261866018057086	0.2282051812694136	0.8194867336382401	0.9952700313964409
PRPH2	0.1734676538765017	0.4319356563540765	3.160746997927919	0.1366561944493625	0.8913025563595227	NA
LOC101929618	0	NA	NA	NA	NA	NA
ATP6V0CP3	0.4335161069296103	-0.9771550014474848	2.9861326398923227	-0.32723094359355726	0.743493218462898	NA
TBCC	107.61905165785578	0.07105498276718701	0.1796439641993058	0.39553225784059814	0.6924501200083246	0.9944832763750364
GLTSCR1L	442.69363424375007	-0.015705173045946732	0.13042571020288765	-0.12041470214358868	0.9041546455164283	0.9974613506984019
FLJ38717	53.708487633463804	-0.06117984741833361	0.2519203661875114	-0.2428539158790986	0.8081185667051131	0.9944832763750364
RPL7L1	1049.3207452655754	-0.18484269147236385	0.10909255104745104	-1.6943658361418685	0.09019578724591955	0.9796972836993517
C6orf226	9.004440490379276	-0.06709139533435912	0.5361595499709263	-0.1251332655326147	0.9004180481784673	0.9974613506984019
PTCRA	0.32267680856167996	1.0090084861474888	3.1158852044455867	0.32382723365671073	0.7460688367496607	NA
CNPY3	297.2070946399615	-0.25728472616284104	0.16443968618405716	-1.56461455341664	0.11767331438185129	0.9944832763750364
GNMT	2.7435092072092324	-0.8637093762140958	0.9964532372998864	-0.8667836521405762	0.38606056096214303	0.9944832763750364
PEX6	225.38207180054147	-0.041883369541685866	0.3404442861316448	-0.12302562048431673	0.9020868098617609	0.9974613506984019
MEA1	139.5831818560115	0.12081852373463009	0.1346027303887874	0.8975934097745052	0.36940235375199776	0.9944832763750364
PPP2R5D	278.21619499216933	-0.1277812471597245	0.1441663435534687	-0.8863458974551348	0.37543116357635503	0.9944832763750364
KLHDC3	295.77525843728745	-0.16321652558210997	0.15236593287198466	-1.0712140339090221	0.2840732028370789	0.9944832763750364
RRP36	216.29215610626963	0.01298619903548132	0.20096176689806688	0.06462024710435724	0.9484763635433668	0.9994032619865325
CUL7	381.3068732645013	-0.28089350357570575	0.18897202106541738	-1.4864290596673433	0.1371656680912942	0.9944832763750364
MRPL2	120.59029996866067	-0.1462903283401855	0.16051104968813457	-0.9114034742431797	0.36208282372566575	0.9944832763750364
KLC4	108.36332343781298	-0.31577785846552014	0.19991752065762292	-1.579540689714328	0.11421209111352629	0.9944832763750364
PTK7	42.0815009949763	-1.1504578928994171	0.7210271019504207	-1.5955820381610633	0.11058214039307473	0.9944832763750364
SRF	632.4413808198948	0.2322477777667237	0.15822951377556443	1.4677905039646908	0.14216113769638972	0.9944832763750364
CUL9	354.9560828271651	-0.09228191732238512	0.1452388400947198	-0.6353804344774581	0.525180325564969	0.9944832763750364
DNPH1	179.2570698806781	0.24009137838118907	0.15350082714302585	1.564104785946734	0.11779296222111052	0.9944832763750364
TTBK1	6.008114707445204	0.07562314373665398	0.8294581779722418	0.09117173806342861	0.9273561311631675	0.9980999568853166
SLC22A7	0	NA	NA	NA	NA	NA
CRIP3	36.810059080044674	0.06595814440076053	0.38858106468394954	0.16974101518407042	0.8652138166396137	0.9974113393624806
ZNF318	3250.224131865418	0.3450834941389592	0.26518097441028315	1.301313168889154	0.19315128143777716	0.9944832763750364
ABCC10	166.34753976297918	-0.11094717273611818	0.2188487851656549	-0.5069581384796725	0.612184191156496	0.9944832763750364
MIR6780B	0.33537017364889293	1.0090079074427019	3.160746997927919	0.319230836287806	0.749551475311387	NA
DLK2	6.722913847861707	1.5765729472349581	0.6280545848908734	2.510248289181573	0.01206462996203722	0.6947989460188614
LOC101929661	5.832149667281748	0.2601592033115192	0.5738532863567994	0.4533549070759567	0.6502932013192426	0.9944832763750364
TJAP1	226.82326973014264	0.07451389895880736	0.18641835389967598	0.3997133189949108	0.6893676809915146	0.9944832763750364
LRRC73	0.44023585234745666	2.493921586722526	3.114834255402866	0.8006594836937696	0.42332880426004615	NA
YIPF3	260.1445746667506	0.18446483034587005	0.13347042633924583	1.3820651915579425	0.16695168511339406	0.9944832763750364
POLR1C	172.69001029133494	-0.0560860114248693	0.12332114787924424	-0.45479637831289554	0.6492557360280207	0.9944832763750364
XPO5	710.2191333458181	-0.04962923133955189	0.14097370406975984	-0.35204601927032586	0.7248037504169206	0.9944832763750364
POLH	484.2671170194238	-0.04417982756901652	0.2134638220900728	-0.20696634744211823	0.8360361402991134	0.9970328194143663
GTPBP2	498.5468559694769	0.37175359786871226	0.18640521055974535	1.9943305058501049	0.04611594756325936	0.8929001571300046
MAD2L1BP	123.71562501928491	-0.124782993517694	0.17807788837417773	-0.7007214351930074	0.4834768762755814	0.9944832763750364
RSPH9	0.13521189721524746	1.0090050248164217	3.160746997927919	0.3192299242798908	0.7495521668391496	NA
MRPS18A	212.92025280642525	0.13329745311003782	0.12778764162961723	1.0431169353323724	0.2968941380886859	0.9944832763750364
VEGFA	1284.3673919205314	-0.1618550868588207	0.2042468822365321	-0.7924482620566088	0.42809934802578353	0.9944832763750364
LOC100132354	0.398298037138012	2.366695980038221	3.1228697012808464	0.7578593429842813	0.44853519194894664	NA
RP5-1120P11.1	4.536963239204108	-0.5456739690319897	0.7554807656439609	-0.7222870440213857	0.47011801675010195	0.9944832763750364
C6orf223	467.4725728778692	-0.20273242584504989	0.3403528898399226	-0.5956536051167379	0.5514066580627863	0.9944832763750364
LOC101929683	0.9622029681559647	0.5033705656918765	1.5997696699710722	0.31465189967064366	0.7530259688970119	0.9944832763750364
MRPL14	173.5938546120143	-0.10524962294815413	0.2197403095030632	-0.47897276192143956	0.6319580061153216	0.9944832763750364
TMEM63B	207.42516356527173	0.0045763205035642416	0.13626813725011008	0.033583202910925126	0.9732095168482408	0.9997666942545931
CAPN11	5.3116672195751296	0.138095234393142	0.6225885566530498	0.22180817960343335	0.8244632116605097	0.9959536064986348
LOC101929726	0.24988246480919019	1.5860772759050472	3.160746997927919	0.5018045661183343	0.615805000891664	NA
SLC29A1	427.1243501883259	0.20289169994622241	0.16785987683074072	1.2086968236656432	0.2267793424341969	0.9944832763750364
HSP90AB1	10323.656268014589	-0.10968150935169242	0.1134192906537546	-0.9670445716904292	0.3335217525027224	0.9944832763750364
SLC35B2	412.74155092824674	0.007368471634792693	0.12057790355267753	0.06110963466514069	0.9512718961400703	0.9996446549480643
MIR4647	0	NA	NA	NA	NA	NA
NFKBIE	1321.6106860115613	-0.10757831112508415	0.23647824602646442	-0.45491842456005444	0.6491679272856574	0.9944832763750364
TMEM151B	1.8334907129902187	0.295221913462848	1.1446894310876619	0.25790568642040645	0.7964796961627911	0.9944832763750364
TCTE1	1.1039865850116006	-1.1284772400904544	1.464763318729524	-0.7704160977141683	0.4410531074297683	0.9944832763750364
AARS2	242.68929229804326	-0.16973962566088385	0.13347279605389914	-1.2717170140973102	0.20347368320500714	0.9944832763750364
SPATS1	0.38939346069089603	-1.8902951456711952	2.9281460877685914	-0.6455603952163822	0.5185640931991695	NA
CDC5L	538.4656869971138	0.04494811800369804	0.12669924056156795	0.35476233167992866	0.7227676501359153	0.9944832763750364
MIR4642	0.2737077346922078	-1.330647760913707	3.133716066368979	-0.4246229501115977	0.6711115599954649	NA
LOC101929770	0.08504384577531998	-0.14513659473454882	3.160746997927919	-0.045918447389080984	0.9633752507948017	NA
SUPT3H	11.168084108135806	0.30336725106793394	0.6209237846683094	0.48857405459188413	0.6251432853376617	0.9944832763750364
MIR586	0	NA	NA	NA	NA	NA
RUNX2	5.799722519672723	1.682439441808807	0.7666762770306278	2.194458720341487	0.028202448448904613	0.8133893960351816
CLIC5	5.941876953076725	-0.2876958991527991	0.7828457191285698	-0.36750012438344787	0.7132459990744667	0.9944832763750364
ENPP4	769.645978571418	-0.13297967957185566	0.2887078668588697	-0.46060289599542054	0.6450835334901752	0.9944832763750364
ENPP5	76.54539117254551	0.3225767561926886	0.5011133547924599	0.6437201345916761	0.5197569310715326	0.9944832763750364
RCAN2	0.4913027356504017	0.8484673514080698	2.877433378014362	0.294869503457826	0.7680935693832212	NA
RP11-795J1.1	0.06494637921839805	-0.145136594734549	3.160746997927919	-0.045918447389081046	0.9633752507948017	NA
CYP39A1	0	NA	NA	NA	NA	NA
SLC25A27	0.4869290503824598	-0.32229136591662866	2.8672795040738057	-0.11240319105923224	0.9105037252645581	NA
LOC101926934	0	NA	NA	NA	NA	NA
TDRD6	0	NA	NA	NA	NA	NA
PLA2G7	0.3300510348704416	-0.4453186997643493	3.1515044085878063	-0.1413035306410684	0.8876301605537664	NA
ANKRD66	0	NA	NA	NA	NA	NA
MEP1A	0.23164092263110012	-0.7438608566241776	3.158464460351653	-0.235513448374011	0.8138102420822956	NA
GPR116	0.06494637921839805	-0.145136594734549	3.160746997927919	-0.045918447389081046	0.9633752507948017	NA
RP3-365O12.2	0	NA	NA	NA	NA	NA
GPR110	0.4666749934001381	-2.1202560448215317	2.845871367106021	-0.7450287702137534	0.4562543276107973	NA
TNFRSF21	51.7571230002721	-0.6694031529936969	0.7296999209967575	-0.917367720253147	0.35894998185221316	0.9944832763750364
CD2AP	1490.9249170118528	0.30476203223114445	0.1913910584504467	1.592352509561207	0.11130552058924535	0.9944832763750364
GPR111	0.20015827643364548	0.43193565635407644	3.160746997927919	0.1366561944493625	0.8913025563595227	NA
GPR115	2.9974397098165713	2.176461937089234	1.0703787853245041	2.033356758308136	0.04201649270962571	0.8737874317205495
OPN5	0.13521189721524746	1.0090050248164217	3.160746997927919	0.3192299242798908	0.7495521668391496	NA
PTCHD4	1.4555452265233892	0.5332255926144096	1.8240197260138638	0.29233543092195524	0.7700301714105096	0.9944832763750364
MUT	318.40721072383013	-0.2420283688338351	0.14074827259890565	-1.7195832273092986	0.08550822716221713	0.9683286719550401
CENPQ	154.2924442767908	0.02369962524737281	0.1512014945181908	0.15674200392590398	0.8754481818596827	0.9974613506984019
GLYATL3	0.35225444653145477	2.159074899357563	3.1375470120127713	0.6881410513025246	0.4913639613729922	NA
C6orf141	1.6565890802988215	0.68931197817379	1.1810644689064411	0.5836361996496521	0.559465099930051	0.9944832763750364
RHAG	0	NA	NA	NA	NA	NA
LOC101926999	0	NA	NA	NA	NA	NA
CRISP2	0.099574509284503	1.0090050248164215	3.160746997927919	0.3192299242798907	0.7495521668391496	NA
CRISP3	0	NA	NA	NA	NA	NA
PGK2	2.0105876853748295	-0.11451367156008449	1.0016175828483704	-0.11432873535869238	0.9089772043184052	0.9975259226436726
RP3-417L20.4	0	NA	NA	NA	NA	NA
RP11-719J20.1	0.09027853278288553	-0.1451365947345489	3.160746997927919	-0.04591844738908101	0.9633752507948017	NA
