rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
ABT1P1,0.12731489426803505,-0.00240681813737421,0.391978172925852,1,NA
ABTB1,138.05027123123514,-0.062278420738122973,0.2604702761789475,0.7491748923585344,0.8885205744183706
ABTB2,1015.4960527569215,0.08382646140713025,0.24559193910289337,0.6658741866899676,0.8427780262125034
AC000041.1,0,NA,NA,NA,NA
AC000041.2,0,NA,NA,NA,NA
AC000077.1,0,NA,NA,NA,NA
AC000078.1,0.483133620152567,0.02150485898932025,0.3882536476946919,0.7332469413881029,NA
AC000081.1,0.23048967094453277,-0.015979651268128153,0.3921653949514961,0.8421877570527045,NA
AC000089.1,8.319091106684509,-0.04301614956457192,0.3385528854602219,0.8021922358364237,0.9132043069257925
AC000095.1,0.058261078352246164,-0.013694493377042902,0.39194573602012645,0.8421900158376372,NA
AC000111.2,0,NA,NA,NA,NA
AC000111.3,0,NA,NA,NA,NA
AC000362.1,0,NA,NA,NA,NA
AC000367.1,9.190290950698161,-0.17489650497095433,0.329874736244931,0.387985248798399,0.6530153903709052
AC000374.1,0,NA,NA,NA,NA
AC001226.2,2.5199723802296425,0.05387565199026849,0.37114288766185416,0.6852451135036798,NA
AC002056.1,0.757640232105025,-0.04545850568677358,0.39490242785991486,0.3513952133797673,NA
AC002069.1,0,NA,NA,NA,NA
AC002069.2,0,NA,NA,NA,NA
AC002075.1,0,NA,NA,NA,NA
AC002075.2,0.27760600156747944,-0.002176540389838359,0.3904797641652565,0.9886157304646009,NA
AC002076.2,0,NA,NA,NA,NA
AC002094.3,0.44182478444218193,0.02628640807096806,0.3929048609287606,0.5688169353202481,NA
AC002127.1,0,NA,NA,NA,NA
AC002310.3,0.7918888142504709,-0.06878258307840586,0.3945704384041864,0.3438124501757964,NA
AC002310.4,1.363549828711157,-0.03353138312442645,0.3939129428747824,0.3134891214485296,NA
AC002310.5,43.745871493203815,-0.01224128656911237,0.37815200661957477,0.8970526131497946,0.9584279166650247
AC002350.1,0.3687429080088476,-0.010708683048269526,0.3907433744156089,0.7999043613998589,NA
AC002366.1,0.05351372520589371,-0.0016931468941041282,0.3920280509954635,1,NA
AC002367.1,0,NA,NA,NA,NA
AC002381.1,0,NA,NA,NA,NA
AC002400.1,0.5978212837878746,0.0672432512824614,0.397990185972389,0.3280863972431242,NA
AC002429.1,0,NA,NA,NA,NA
AC002456.2,0.20369347344242003,-0.002581972472516123,0.3919724250609924,1,NA
AC002472.2,1.3610647509352247,-0.0025088183758332156,0.3750970855680918,0.9793520483691449,NA
AC002486.1,0.12275721900885056,-0.0017309410773614395,0.39201911801918227,1,NA
AC002486.2,0,NA,NA,NA,NA
AC002487.1,0,NA,NA,NA,NA
AC002504.1,0,NA,NA,NA,NA
AC002519.2,0.06095165027220317,-0.0016044384493693145,0.39202573159799003,1,NA
AC002524.1,0.4578364625928504,0.0394826825515387,0.3925101181289853,0.7409801876831461,NA
AC002542.1,0,NA,NA,NA,NA
AC002543.1,0.4758533992462394,0.028356219746433074,0.3932142934967638,0.47758472874639785,NA
AC002545.1,0,NA,NA,NA,NA
AC002553.2,0,NA,NA,NA,NA
